id,owner_id,address_line1,address_line2,asking_price,num_beds,num_baths,sq_ft,saved
0,0,35559 Baumbach Unions,"East Garrick, Michigan 85961",255121,0,1.5,1702,
1,6,623 Frami Extension,"Gretahaven, Idaho 93859-3206",705758,9,6.5,3776,
2,2,4118 Nolan Ferry,"South Lonnie, Nevada 60109-5403",963579,4,5.5,4448,
3,1,7194 Gaylord Land,"East Lonview, Hawaii 34158-3617",949003,4,7.5,1603,
4,2,715 Dexter Meadows,"New Milfordton, Oregon 63337-2943",952106,6,4.5,4311,
5,2,684 Rolfson Plain,"Danikaview, Rhode Island 13074-7199",492252,3,4.5,132,
6,2,055 Ted Drives,"Bethanymouth, Alaska 38717",788370,8,5.5,3191,
7,0,22598 Swaniawski Point,"Lenorehaven, Arkansas 37007",600603,5,8.5,1519,
8,4,164 Sanford Road,"West Cynthiamouth, Alabama 90084-2007",140086,5,8.5,4355,
9,3,83882 Watsica Common,"Ceciliatown, North Dakota 20952",910187,0,5.5,263,
10,4,440 Hickle Forks,"New Gladyceton, New York 27988-7005",327560,3,3.5,3258,
11,0,451 Ziemann Greens,"Palmamouth, Kentucky 45920-0610",253660,1,5.5,1315,
12,7,857 Eryn Estates,"Mohrborough, Tennessee 24972",851951,8,5.5,154,
13,3,465 Raynor Squares,"Lake Elisa, Utah 49922",620135,2,7.5,2164,
14,3,836 Santiago Islands,"Rockytown, Oregon 38151",584462,1,2.5,4360,
15,9,5148 Runolfsson Parkway,"New Fritz, Minnesota 36475",331317,1,0.5,2985,
16,6,546 Rhett Estate,"Botsfordmouth, Louisiana 03983-6877",814473,4,5.5,2636,
17,3,367 Padberg Oval,"Benmouth, South Dakota 43059",579180,7,9.5,3980,
18,4,78113 Hauck Extension,"Heaneyfurt, Indiana 01683",965972,4,0.5,4848,
19,2,1740 Friesen Extension,"New John, Montana 13715-2544",142365,1,6.5,1173,
20,4,226 Leanna Forks,"Oletaview, West Virginia 62494",801036,9,1.5,2190,
21,2,6486 Ulises Brook,"Madilynmouth, South Dakota 36237-0747",301504,8,2.5,1681,
22,7,5624 Hilda Courts,"West Aminachester, Illinois 73375",810362,5,4.5,3704,
23,1,192 Durward Trace,"Port Elyse, Mississippi 05934-9964",344548,6,2.5,4665,
24,8,1392 Natasha Burg,"Frederikborough, Maryland 48962-4445",1010093,3,5.5,4275,
25,4,0137 Corwin Pines,"Schusterbury, North Carolina 82955-4178",422171,5,8.5,1242,
26,3,634 Lang Valley,"North Paolo, Mississippi 99696-3323",594994,4,5.5,304,
27,7,5094 Sasha Junction,"Brekkeborough, New Mexico 32276-8799",310803,3,7.5,525,
28,8,1942 Robel Landing,"North Jovanny, Vermont 76313-9578",1012159,6,1.5,850,
29,4,0914 Nader Expressway,"East Vivian, Idaho 65670",1066924,1,5.5,3478,
30,5,0839 Abshire Ford,"Nellahaven, South Dakota 11942-3319",369675,9,8.5,1072,
31,3,90412 O'Kon Port,"North Gaetanobury, California 19879",802758,0,0.5,514,
32,7,7909 Corwin Brooks,"Johnsview, Tennessee 13442",524046,6,5.5,3719,
33,9,762 Madilyn Forest,"New Cordell, California 10455-7508",702178,9,9.5,1895,
34,3,3919 Dallas Loop,"Krajcikberg, Florida 45417-7781",894835,5,7.5,885,
35,8,5460 Meghan Ports,"South Altheaview, Vermont 57219",1067719,8,3.5,1441,
36,9,904 Thiel Underpass,"Hendersonville, Hawaii 95926",693384,1,8.5,1019,
37,5,7862 Prosacco Mill,"Yundtburgh, Nebraska 89103-6139",421987,9,5.5,991,
38,5,0815 Verdie Creek,"Anamouth, Oklahoma 12025",898948,5,9.5,1554,
39,1,888 Kailyn Shore,"Macejkovicstad, Montana 73455",470583,3,9.5,2905,
40,1,092 Dino Grove,"Port Tamia, North Carolina 75070-4587",766328,0,6.5,4768,
41,1,48661 Mraz Stravenue,"Kirstenton, Wisconsin 29798-4899",1028681,4,9.5,4353,
42,6,525 O'Connell Pine,"Port Claireshire, Delaware 88366-5294",676922,0,5.5,771,
43,1,42447 Ryder Green,"Swaniawskihaven, South Carolina 73210-9829",911199,1,0.5,107,
44,1,778 Cole Islands,"Brodyton, Ohio 21097-8727",1009672,9,0.5,2241,
45,6,05802 Reynolds Mountains,"Rolfsonbury, South Carolina 87643",205506,2,9.5,536,
46,7,4150 Verlie Expressway,"Port Jayfort, Illinois 74975",449063,8,1.5,2109,
47,8,67081 Boyer Burgs,"Hansenland, Rhode Island 02338-2119",710438,7,9.5,3784,
48,2,6151 Melvin Alley,"D'Amoreview, Kentucky 28240-9911",295996,3,3.5,3160,
49,6,6592 Adan Roads,"North Tiara, Tennessee 29484-4987",725676,6,0.5,1853,
50,2,46684 Ettie Street,"Magaliton, Idaho 21331",309431,2,5.5,4797,
51,6,4934 Douglas Pike,"Loyalshire, Tennessee 85507-3926",418859,9,5.5,4218,
52,0,0749 Davis Green,"Simonisfort, Maryland 32345",939571,1,5.5,493,
53,1,581 Schiller Road,"West Aaliyahburgh, Idaho 80534",160110,8,1.5,2004,
54,8,3640 Genevieve Cliff,"Aldahaven, North Dakota 16936",635052,9,7.5,4203,
55,5,3057 Forest Spring,"New Lenniestad, Florida 99107-1451",662232,4,3.5,249,
56,3,7264 Little Road,"Bruenport, Texas 81282",712965,5,1.5,3048,
57,9,52902 Will Plaza,"East Leonorastad, Kentucky 61204",514173,1,0.5,4488,
58,1,0586 Mabel Neck,"South Monserrat, Oklahoma 53420-6765",179990,8,7.5,1927,
59,9,646 Kyle Squares,"West Sylvia, South Carolina 27832",308390,6,6.5,1596,
60,3,40695 Lesch Skyway,"Myrticeton, Missouri 64273-0086",751617,7,1.5,1902,
61,9,2659 Cathy Isle,"Kuhicberg, Washington 05051",398581,9,5.5,4206,
62,4,63373 Haskell Unions,"Dorcasside, Nebraska 91643",863293,9,9.5,2639,
63,5,3709 Windler Flats,"East Allenmouth, Mississippi 49769-0842",1003351,6,3.5,78,
64,0,46003 Stokes Vista,"New Jodyfurt, Connecticut 08926",263762,2,6.5,2340,
65,9,56051 Pierre Ports,"Alexandrineside, Ohio 68104-7038",995841,1,8.5,1591,
66,5,902 Cruickshank Ridge,"Grahamville, Connecticut 94530-8080",378580,8,7.5,4332,
67,0,1587 Lind Mall,"North Stacyshire, Minnesota 69316",617208,1,7.5,3311,
68,1,34988 Hane Fork,"East Leolamouth, North Dakota 74859",582752,9,1.5,1167,
69,5,0299 Bartoletti Avenue,"Libbyborough, Ohio 63726-1393",1006427,9,0.5,4011,
70,1,5151 Armstrong Path,"Kihnburgh, New Jersey 71777",210217,7,9.5,78,
71,4,76039 Libby Cove,"Sophietown, Washington 98422",902946,5,4.5,2969,
72,8,90789 Rogahn Divide,"Lake Wilburn, Arizona 17330-4040",135275,6,8.5,2227,
73,6,0340 Balistreri Rapid,"Steuberside, Oregon 93637-0302",982603,3,0.5,4617,
74,1,894 Godfrey Meadow,"Annaton, North Dakota 93717",638832,8,2.5,457,
75,4,70811 Murray Cliffs,"South Webster, New Mexico 81884-1670",1093011,1,8.5,292,
76,6,6974 Prohaska Mission,"Stephanyburgh, Connecticut 08131-5708",1094350,2,4.5,2924,
77,4,4112 Stone Estates,"Clydeland, Alabama 27654-8242",968189,3,8.5,2117,
78,0,810 Doyle Ford,"Kianaport, Ohio 35230",472739,1,7.5,147,
79,3,5962 Reichert Vista,"Felipebury, South Dakota 16060-8846",311516,9,6.5,905,
80,3,765 Ward Squares,"Port Juniorfurt, Alaska 92502-0021",959513,5,5.5,976,
81,5,074 Jarret Ports,"Stokesbury, Oklahoma 92236-2553",234547,8,2.5,97,
82,1,107 Raymond Mountain,"Elyssashire, Utah 92972-8951",877735,0,9.5,4459,
83,3,988 Retta Underpass,"South Janae, Wisconsin 83970",338700,5,4.5,1370,
84,5,6008 Antonette Manors,"Henrietteton, Washington 38176",182129,4,8.5,2514,
85,3,4831 Elyssa Orchard,"Larsonbury, Wisconsin 67033",888948,5,1.5,785,
86,3,453 Nitzsche Canyon,"Ankundingside, Colorado 72074",138562,3,0.5,351,
87,4,7267 Garrison Lock,"East Damian, California 87236",734791,2,3.5,1141,
88,8,144 Koch Pine,"Shieldsshire, Wisconsin 46962",575593,0,5.5,3686,
89,2,96792 Elna Via,"South Jenningsmouth, New Hampshire 69471",343379,0,1.5,4948,
90,1,9749 Everette Ports,"North Keanu, Colorado 96998-4908",261306,2,7.5,2616,
91,5,8689 Lowe Centers,"Goldnerfurt, Oregon 18151-7908",372568,5,1.5,4887,
92,9,3123 Ullrich Valley,"New Sarai, South Dakota 55787-0895",867556,4,8.5,2389,
93,6,24755 Chet Lights,"Lake Gabe, Idaho 41140",193901,4,4.5,1466,
94,7,0188 Frami Cove,"Lake Gilbert, Wisconsin 11936",953555,8,9.5,865,
95,6,851 VonRueden Plaza,"Warrenville, Maryland 62849",775553,6,6.5,3831,
96,4,651 Rice Parkway,"Lake Juwan, Hawaii 67218-8685",1031731,5,7.5,4392,
97,3,1838 Eulah Mountains,"East Fredview, Colorado 72857-8571",1087180,9,8.5,3786,
98,5,56320 Bernita Parks,"Lake Anikaburgh, Indiana 48889",291544,8,4.5,853,
99,3,73810 Shanie Corners,"North Stanmouth, Maryland 11704",535076,7,9.5,4351,
